restaurantName,menuItem,servingSize,calories,carbohydrateContent,cholesterolContent,fatContent,fiberContent,proteinContent,saturatedFatContent,sodiumContent,sugarContent,transFatContent,unsaturatedFatContent
Subway,Protein Bowls Make any Footlong a Protein Bowl Roast Beef,330 g,230,12,75,7,3,30,2,920,7,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Rotisserie-Style Chicken,325 g,220,8,105,8,3,31,3,810,4,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Steak (Includes American Cheese),358 g,380,12,140,19,4,42,9,1150,5,1,
Subway,Protein Bowls Make any Footlong a Protein Bowl Tuna,337 g,550,8,75,47,3,26,8,690,4,1,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional Big Hot Pastrami**,490 g,680,15,165,52,5,45,18,2670,7,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional B.L.T.**,248 g,360,10,65,26,3,22,9,760,6,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional Oven Roasted Turkey & Ham**,302 g,160,10,55,4,3,22,1,1010,6,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional Pizza Sub**,372 g,610,18,135,48,5,30,22,1830,8,1,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional Veggie Patty**,358 g,380,41,0,19,19,14,2,700,8,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Flatbread 6" Black Forest Ham, Egg & Cheese Flatbread,170 g,400,28,265,22,1,21,6,900,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Flatbread 6" Egg & Cheese Flatbread,141 g,360,27,250,21,1,16,6,650,2,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Flatbread 6" Bacon, Egg & Cheese Flatbread,156 g,440,28,270,27,1,21,8,820,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Flatbread 6" Steak, Egg & Cheese Flatbread,184 g,430,28,285,23,1,26,7,920,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Artisan Italian 6" Black Forest Ham, Egg & Cheese,195 g,450,41,265,21,2,24,6,1050,5,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Artisan Italian 6" Egg & Cheese,167 g,420,40,250,20,2,19,6,800,4,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Artisan Italian 6" Bacon, Egg & Cheese,182 g,500,40,270,26,2,24,8,970,5,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Artisan Italian 6" Steak, Egg & Cheese,209 g,490,41,285,23,2,29,7,1070,4,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on Plain Wrap Black Forest Ham, Egg & Cheese,340 g,770,57,520,42,2,40,10,1720,4,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on Plain Wrap Egg & Cheese,283 g,700,55,495,40,2,30,10,1230,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on Plain Wrap Bacon, Egg & Cheese,313 g,860,56,525,53,2,40,14,1570,4,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on Plain Wrap Steak, Egg & Cheese,354 g,820,56,550,45,2,47,12,1680,4,1,
Subway,BREAKFAST & PIZZA & SLIDERS 8" Pizza** Cheese,293 g,700,95,50,22,4,29,9,1370,8,1,
Subway,BREAKFAST & PIZZA & SLIDERS 8" Pizza** Bacon**,308 g,780,96,65,28,4,34,12,1540,9,0,
Subway,BREAKFAST & PIZZA & SLIDERS 8" Pizza** Meatball**,330 g,810,98,70,31,5,35,13,1590,8,0,
Subway,BREAKFAST & PIZZA & SLIDERS 8" Pizza** Pepperoni,311 g,780,96,70,29,5,33,12,1660,8,1,
Subway,BREAKFAST & PIZZA & SLIDERS Sliders Ham & Jack (includes Pepper Jack Cheese)**,71 g,160,20,20,4,<1,10,2,540,2,0,
Subway,BREAKFAST & PIZZA & SLIDERS Sliders Italian Spice (includes American Cheese and MVP Parmesan Vinaigrette®)**,72 g,250,20,30,15,1,9,5,730,2,0,
Subway,BREAKFAST & PIZZA & SLIDERS Sliders Little Cheesesteak (includes American Cheese and Baja Chipotle Sauce)**,71 g,180,20,20,7,1,8,3,440,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Sliders Turkey (includes Pepper Jack Cheese and Mayonnaise)**,81 g,200,19,25,9,<1,11,3,520,2,0,
Subway,BREADS & INGREDIENTS Breads 6" Artisan Flatbread,78 g,220,40,0,4,1,7,1,360,2,0,
Subway,BREADS & INGREDIENTS Breads New Flatbread,45 g,140,24,0,3,1,4,0,220,2,0,
Subway,BREADS & INGREDIENTS Breads 6" Artisan Italian Bread,71 g,200,37,0,2,1,7,1,370,3,0,
Subway,BREADS & INGREDIENTS Breads 6" Hearty Multigrain Bread,71 g,200,36,0,2,3,9,0,360,4,0,
Subway,BREADS & INGREDIENTS Breads 6" Italian Herbs & Cheese Bread,82 g,240,40,10,5,2,9,2,560,3,0,
Subway,BREADS & INGREDIENTS Breads 6" Jalapeño Cheddar Bread**,82 g,230,37,5,5,2,9,2,490,3,0,
Subway,BREADS & INGREDIENTS Breads New Wrap,90 g,280,49,0,5,2,9,1,440,3,0,
Subway,BREADS & INGREDIENTS Breads Wrap,102 g,300,50,0,8,2,8,1,580,2,0,
Subway,BREADS & INGREDIENTS Breads Mini Artisan Italian Bread,47 g,130,24,0,1,1,5,0,250,2,0,
Subway,BREADS & INGREDIENTS Breads Mini Hearty Multigrain Bread,47 g,130,24,0,2,2,6,0,240,3,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Baja Chipotle,14 g,70,1,5,1,0,0,0,125,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Creamy Sriracha,14 g,40,2,5,4,0,0,1,240,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Frank's RedHot® Buffalo Sauce,14 g,5,1,0,0,0,0,0,350,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Giardiniera,28 g,80,1,0,9,0,0,0,340,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Honey Mustard,14 g,60,3,5,5,0,3,0,125,3,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Mayonnaise,14 g,100,0,10,11,0,0,0,65,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Mustard, Yellow,14 g,10,1,0,1,0,0,0,170,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings MVP Parmesan Vinaigrette®,14 g,60,1,0,6,0,1,0,150,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Oil,5 g,45,0,0,5,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Oil & Vinegar,9 g,45,0,0,5,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Peppercorn Ranch Sauce,14 g,80,1,5,8,0,0,0,100,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Red Wine Vinegar,4 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Roasted Garlic Aioli,14 g,80,1,5,9,0,0,0,150,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Sweet Onion Teriyaki Sauce,14 g,30,7,0,0,0,6,0,130,0,0,
Subway,BREADS & INGREDIENTS Seasonings and Spices Pepper, Black,0 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Seasonings and Spices Oregano**,0 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Seasonings and Spices Salt,0 g,0,0,0,0,0,0,0,160,0,0,
Subway,BREADS & INGREDIENTS Vegetables Avocado, Sliced **,28 g,45,2,0,4,2,0,1,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Avocado, Smashed **,35 g,70,3,0,6,2,0,1,130,0,0,
Subway,BREADS & INGREDIENTS Vegetables Banana Peppers (3 rings),4 g,0,0,0,0,0,0,0,65,0,0,
Subway,BREADS & INGREDIENTS Vegetables Cucumbers (3 slices),14 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Green Chiles**,14 g,5,<1,0,0,0,0,0,95,0,0,
Subway,BREADS & INGREDIENTS Vegetables Green Peppers (3 strips),7 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Jalapeno Peppers (3 rings),4 g,0,0,0,0,0,0,0,70,0,0,
Subway,BREADS & INGREDIENTS Vegetables Lettuce,21 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Olives, Black (3 rings),3 g,0,0,0,0,0,0,0,25,0,0,
Subway,BREADS & INGREDIENTS Vegetables Onions,7 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Pickles, Crinkle (3 chips),12 g,0,0,0,0,0,0,0,160,0,0,
Subway,BREADS & INGREDIENTS Vegetables Spinach, Baby,7 g,0,0,0,0,0,0,0,5,0,0,
Subway,BREADS & INGREDIENTS Vegetables Tomatoes (3 wheels),35 g,5,6,0,0,0,1,0,10,0,0,
Subway,BREADS & INGREDIENTS Cheese American,11 g,40,1,10,4,0,2,2,210,0,0,
Subway,BREADS & INGREDIENTS Cheese BelGioioso® Fresh Mozzarella,17 g,40,0,10,3,0,3,2,55,0,0,
Subway,BREADS & INGREDIENTS Cheese Monterey Cheddar, Shredded,14 g,50,1,15,5,0,3,3,85,0,0,
Subway,BREADS & INGREDIENTS Cheese Mozzarella, Shredded**,14 g,45,1,10,4,0,3,0,85,0,0,
Subway,BREADS & INGREDIENTS Cheese Parmesan Grated,1 g,5,0,0,0,0,1,0,25,0,0,
